name,author_role,paper_id,title,journal,achievement_level,year,doi,paper_url,source,affiliations,is_likely_chinese_name,chinese_name_score,name_filter_reason
Anne Burmeister,first_author,238,A Prosocial Perspective on Advice Seeking and Networking: How Focusing on What Advice Givers Can Gain Motivates Advice Seekers to Reach Out More,ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2024.0635,https://doi.org/10.5465/amj.2024.0635,"openalex,crossref",University of Cologne,0,0.25,"pinyin_given_name_shape,person_name_length"
Silvia Stroe,first_author,1062,Algorithmic Facial Expression Analysis: A Novel Methodology to Advance Management Research on Emotions,ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2024.0826,https://doi.org/10.5465/amj.2024.0826,"openalex,crossref",University of St. Gallen,0,0.25,"pinyin_given_name_shape,person_name_length"
Ruixiang Song,first_author,1138,Anticipatory Impression Management for Potential Adverse Events: Positive Framing in the Wake of Short Seller Attacks on a Competitor,ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2023.0914,https://doi.org/10.5465/amj.2023.0914,crossref,University of Tennessee,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length"
Dean A. Shepherd,first_author,1089,Are You Looking at Me? Orchestrating Voyeuristic Events to Add Value for Those Being Observed,ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2024.1385,https://doi.org/10.5465/amj.2024.1385,"openalex,crossref",University of Notre Dame,0,0.25,"pinyin_given_name_shape,person_name_length"
Quinetta Roberson,first_author,1063,Artificial Intelligence and Responsible Research at AMJ,ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2026.4002,https://doi.org/10.5465/amj.2026.4002,"openalex,crossref",Michigan State University,0,0.25,"pinyin_given_name_shape,person_name_length"
Quinetta M. Roberson,corresponding_author,1063,Artificial Intelligence and Responsible Research at AMJ,ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2026.4002,https://doi.org/10.5465/amj.2026.4002,"openalex,crossref",Michigan State University,0,0.25,"pinyin_given_name_shape,person_name_length"
Ricardo Coelho Da Silva,first_author,1069,Bricolage as Enacted Sensemaking in Emergent Response Groups: Organizing in Conditions of Extreme Equivocality,ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2024.0486,https://doi.org/10.5465/amj.2024.0486,"openalex,crossref",Stockholm School of Economics,0,0.25,"pinyin_given_name_shape,person_name_length"
Ricardo Coêlho Silva,corresponding_author,1069,Bricolage as Enacted Sensemaking in Emergent Response Groups: Organizing in Conditions of Extreme Equivocality,ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2024.0486,https://doi.org/10.5465/amj.2024.0486,"openalex,crossref",Stockholm School of Economics; Nova School of Business and Economics; Nova School of Business and Economics and Copenhagen Business School,0,0.25,"pinyin_given_name_shape,person_name_length"
Srikanth Paruchuri,first_author,1085,CEO Regulatory Focus as an Interpretive Frame: An Empirical Examination of Investor Perceptions in the Context of Earning Deviations,ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2023.0896,https://doi.org/10.5465/amj.2023.0896,"openalex,crossref",Texas A&M University,0,0.25,"pinyin_given_name_shape,person_name_length"
Hee-Chan Song,first_author,1072,"Constructing Agency Under Persistent Precarity: Shame, Anger, and Compassion in the Self-Narratives of Thai Sex Workers",ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2023.1415,https://doi.org/10.5465/amj.2023.1415,"openalex,crossref",Korea University and Chulalongkorn University,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length"
Benoit Decreton,first_author,1120,Deeply Rooted and Versatile? Knowledge Scouts and External Knowledge Integration in Multidivisional Firms,ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2024.0276,https://doi.org/10.5465/amj.2024.0276,crossref,Universidade Nova de Lisboa,0,0.25,"pinyin_given_name_shape,person_name_length"
Shinjinee Chattopadhyay,first_author,1071,Dynamic Demands versus Durable Skills: Career Dilemmas in Pharmaceutical R&amp;D,ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2024.0338,https://doi.org/10.5465/amj.2024.0338,"openalex,crossref",University of Illinois at Urbana Champaign,0,0.25,"pinyin_given_name_shape,person_name_length"
Alessandro Piazza,first_author,1065,From Founders to Funders: Generalized Reciprocity and Embeddedness in Founders’ Transition to Angel Investing,ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2024.1097,https://doi.org/10.5465/amj.2024.1097,"openalex,crossref",Rice University,0,0.25,"pinyin_given_name_shape,person_name_length"
Jan Lodge,first_author,1116,From Paralysis to Publicization: How Victims of the UK Post Office Horizon IT Scandal Experienced and Confronted Organizational Harm,ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2024.1166,https://doi.org/10.5465/amj.2024.1166,crossref,Erasmus University,0,0.25,"pinyin_given_name_shape,person_name_length"
Yasha Spriha,first_author,1119,How Employees Who Have Made Upward Social Class Transitions Get Heard in the Workplace,ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2023.0042,https://doi.org/10.5465/amj.2023.0042,crossref,Arizona State University,0,0.25,"pinyin_given_name_shape,person_name_length"
Steffen Keck,first_author,1070,How Mega-threats Influence Workplace Cooperation: Effect of #BlackLivesMatter Salience on Cooperation among and between Black and White Coworkers,ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2024.0457,https://doi.org/10.5465/amj.2024.0457,"openalex,crossref",University of Vienna,0,0.25,"pinyin_given_name_shape,person_name_length"
Shiko M. Ben-Menahem,first_author,236,Innovating More Formally: How Resistance-Led Participation Drives Expansion and Integration in Innovation Control Configuration,ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2024.0722,https://doi.org/10.5465/amj.2024.0722,"openalex,crossref",EDHEC Business School,0,0.25,"pinyin_given_name_shape,person_name_length"
Shiko M. Ben‐Menahem,corresponding_author,236,Innovating More Formally: How Resistance-Led Participation Drives Expansion and Integration in Innovation Control Configuration,ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2024.0722,https://doi.org/10.5465/amj.2024.0722,"openalex,crossref",EDHEC Business School; University College London; ETH Zurich; Orell Füssli,0,0.25,"pinyin_given_name_shape,person_name_length"
Jens-Christian Friedmann,first_author,1075,Knowledge Bridging: How Acquirers Leverage the Knowledge of Their Targets’ Prior Alliance Partners,ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2024.1203,https://doi.org/10.5465/amj.2024.1203,"openalex,crossref",Erasmus University,0,0.25,"pinyin_given_name_shape,person_name_length"
Jens‐Christian Friedmann,corresponding_author,1075,Knowledge Bridging: How Acquirers Leverage the Knowledge of Their Targets’ Prior Alliance Partners,ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2024.1203,https://doi.org/10.5465/amj.2024.1203,"openalex,crossref",Erasmus University,0,0.25,"pinyin_given_name_shape,person_name_length"
Ryan T. Allen,first_author,239,Listen to Your Users? Self-Selection in User Community Feedback and Commercial Impact,ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2024.0178,https://doi.org/10.5465/amj.2024.0178,"openalex,crossref",Brigham Young University,0,0.25,"pinyin_given_name_shape,person_name_length"
Cyrus Dioun,first_author,1076,Market-Stigmatized Groups and the Effectiveness of Stigma Management Strategies: Evidence from Washington’s Marijuana Market,ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2023.0995,https://doi.org/10.5465/amj.2023.0995,"openalex,crossref",University of Colorado Denver,0,0.25,"pinyin_given_name_shape,person_name_length"
Rebecca R. Kehoe,first_author,1067,Movin’ and Groovin’! Increased Prior Mobility Facilitates Newcomers’ Transitions Into Organizations,ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2024.0138,https://doi.org/10.5465/amj.2024.0138,"openalex,crossref",Cornell University,0,0.25,"pinyin_given_name_shape,person_name_length"
Danbee Chon,first_author,1139,Not So Fast? Rapid Response to Voice Leads to Perceived Inauthenticity,ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2023.1044,https://doi.org/10.5465/amj.2023.1044,crossref,University of South Florida,0,0.25,"pinyin_given_name_shape,person_name_length"
Caitlin Ray,first_author,1140,On the Move: The Impact of Internal Mobility and Internal Comobility on Unit- and Organization-Level Outcomes,ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2023.0311,https://doi.org/10.5465/amj.2023.0311,crossref,Cornell University,0,0.25,"pinyin_given_name_shape,person_name_length"
Spencer Huber Harrison,first_author,1084,Point Break? The Efficacy of Creative Differences as a Protective Label for Future Work,ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2023.0759,https://doi.org/10.5465/amj.2023.0759,"openalex,crossref",INSEAD,0,0.25,"pinyin_given_name_shape,person_name_length"
Spencer Harrison,corresponding_author,1084,Point Break? The Efficacy of Creative Differences as a Protective Label for Future Work,ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2023.0759,https://doi.org/10.5465/amj.2023.0759,"openalex,crossref",INSEAD; University of British Columbia; University College London,0,0.25,"pinyin_given_name_shape,person_name_length"
Ray Tsai Fang,first_author,1086,Political Segregation in the Labor Market and the Persistence of Pay Gaps,ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2023.0371,https://doi.org/10.5465/amj.2023.0371,"openalex,crossref",University of Washington at Tacoma,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length"
Ray Fang,corresponding_author,1086,Political Segregation in the Labor Market and the Persistence of Pay Gaps,ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2023.0371,https://doi.org/10.5465/amj.2023.0371,"openalex,crossref",University of Washington at Tacoma; Boise State University; Oklahoma State University; University of Texas at San Antonio,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length"
Elena Doldor,first_author,235,Polyphonic Career Scripting: Political and Relational Dynamics in the Construction of Promotion Norms,ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2022.1039,https://doi.org/10.5465/amj.2022.1039,"openalex,crossref","Queen Mary University of London and City St George’s, University of London",0,0.25,"pinyin_given_name_shape,person_name_length"
Beth S. Schinoff,first_author,1083,Reckoning With the Ideal Worker Body: A Qualitative Study of Workers in Chronic Pain,ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2023.0511,https://doi.org/10.5465/amj.2023.0511,"openalex,crossref",University of Delaware,0,0.25,"pinyin_given_name_shape,person_name_length"
Deniz Öztürk,first_author,1066,Relationship Splintering and Repair: The Dynamics of Marginalization in Organizations,ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2022.1042,https://doi.org/10.5465/amj.2022.1042,"openalex,crossref",University of Bakırçay,0,0.25,"pinyin_given_name_shape,person_name_length"
Gavin Williamson,first_author,1077,Role Rectification: How Hybrid Entrepreneurship Turns Entrepreneur Roles from Liability to Advantage in Hiring,ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2023.1071,https://doi.org/10.5465/amj.2023.1071,"openalex,crossref",Rowan University,0,0.25,"pinyin_given_name_shape,person_name_length"
Forrest Briscoe,first_author,1088,Seeking Greener Pastures: Employee Turnover Following Corporate Stakeholder Violations,ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2024.0243,https://doi.org/10.5465/amj.2024.0243,"openalex,crossref",Cornell University,0,0.25,"pinyin_given_name_shape,person_name_length"
Romain Boulongne,first_author,1068,Short-Term Demands and Long-Term Commitments: A Temporal Model of Stakeholder Governance,ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2023.1164,https://doi.org/10.5465/amj.2023.1164,"openalex,crossref",IESE Business School,0,0.25,"pinyin_given_name_shape,person_name_length"
Lucas Amaral,first_author,1113,Siloed Sustainability: How Paradox Management Unravels in Integrative Practice Implementation,ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2023.0548,https://doi.org/10.5465/amj.2023.0548,crossref,IESEG School of Management,0,0.25,"pinyin_given_name_shape,person_name_length"
Quinetta Roberson,first_author,1080,Stewardship at Scale: A New Editorial Term at AMJ,ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2026.4001,https://doi.org/10.5465/amj.2026.4001,"openalex,crossref",Michigan State University,0,0.25,"pinyin_given_name_shape,person_name_length"
Quinetta M. Roberson,corresponding_author,1080,Stewardship at Scale: A New Editorial Term at AMJ,ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2026.4001,https://doi.org/10.5465/amj.2026.4001,"openalex,crossref",Michigan State University,0,0.25,"pinyin_given_name_shape,person_name_length"
Tingting Lang,first_author,1142,The Dualities of Multiple Team Membership: Implications for Team Performance and Adaptability,ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2024.0176,https://doi.org/10.5465/amj.2024.0176,crossref,Renmin University of China,0,0.4,"pinyin_given_name_shape,chinese_context,person_name_length"
Timothy D. Hubbard,first_author,1064,The Resource Insecurity Mindset: Why CEOs from Lower-Class Origins Are Both Greedier and More Generous,ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2024.0347,https://doi.org/10.5465/amj.2024.0347,"openalex,crossref",University of Notre Dame and Dublin City University,0,0.25,"pinyin_given_name_shape,person_name_length"
Timothy David Hubbard,corresponding_author,1064,The Resource Insecurity Mindset: Why CEOs from Lower-Class Origins Are Both Greedier and More Generous,ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2024.0347,https://doi.org/10.5465/amj.2024.0347,"openalex,crossref",University of Notre Dame and Dublin City University; University of Illinois Chicago; Vanderbilt University,0,0.25,"pinyin_given_name_shape,person_name_length"
Marco Tortoriello,first_author,1115,"The Ties That Nurture: Expressive Simmelian Ties, Instrumental Brokerage, and Individual Performance",ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2024.0234,https://doi.org/10.5465/amj.2024.0234,crossref,Bocconi University,0,0.25,"pinyin_given_name_shape,person_name_length"
Sruthi Thatchenkery,first_author,1073,They Saw It Coming: Executive Experience and Foresight in Competitor Identification,ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2024.0463,https://doi.org/10.5465/amj.2024.0463,"openalex,crossref",Vanderbilt University,0,0.25,"pinyin_given_name_shape,person_name_length"
Alessandro Iorio,first_author,1078,Tied in or Tied Up? The Contrasting Effects of Social Ties on Employee Turnover,ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2024.0641,https://doi.org/10.5465/amj.2024.0641,"openalex,crossref",Bocconi University,0,0.25,"pinyin_given_name_shape,person_name_length"
Chen Zhang,first_author,1061,Time the Surge: Theorizing and Examining Team Pacing in Multiple-Membership Contexts,ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2024.0522,https://doi.org/10.5465/amj.2024.0522,"openalex,crossref",Tsinghua University,0,0.65,"chinese_surname,chinese_context,person_name_length"
Christopher Sutter,first_author,1074,To Be or Not To Be (Aligned with Elites): Navigating Systemic Power within Informal Institutions,ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2023.0515,https://doi.org/10.5465/amj.2023.0515,"openalex,crossref",University of Cincinnati,0,0.25,"pinyin_given_name_shape,person_name_length"
Rachael D. Goodwin,first_author,1145,Under Pressure to Be Perfect: How Dehumanizing and Rehumanizing Social Cues Lead to Maladaptive and Adaptive Perfectionism in Professional Ballet,ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2023.0187,https://doi.org/10.5465/amj.2023.0187,crossref,Syracuse University,0,0.25,"pinyin_given_name_shape,person_name_length"
Ruolian Fang,first_author,1079,Understanding Why and When Coworkers Undermine Employees Who Have Friends in High Places,ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2022.1306,https://doi.org/10.5465/amj.2022.1306,"openalex,crossref",University of Western Australia,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length"
Christian Schumacher,first_author,1122,Violence and Competition: The Effect of Mass Shootings and Domestic Terrorism on Organizational Risk-Taking in Response to Performance Shortfalls,ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2023.0306,https://doi.org/10.5465/amj.2023.0306,crossref,Vienna University of Economics and Business,0,0.25,"pinyin_given_name_shape,person_name_length"
Mathieu Bouchard,first_author,1144,Vulnerability Practices among Professionals in Multidisciplinary Settings,ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2023.0645,https://doi.org/10.5465/amj.2023.0645,crossref,University of Ottawa,0,0.25,"pinyin_given_name_shape,person_name_length"
Ann C. Peng,first_author,1141,When Dirty Work Inspires: The Joint Effect of Work Dirtiness and Perceived Stigma on Pro-Organizational Behavior,ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2024.0108,https://doi.org/10.5465/amj.2024.0108,crossref,University of Missouri,1,0.8,"chinese_surname,pinyin_given_name_shape,initial_plus_pinyin,person_name_length"
Yiftach Yarmar,first_author,1081,When Women Stick Together: Network Dynamics and Shared Resources Following Disruptive Events,ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2024.0199,https://doi.org/10.5465/amj.2024.0199,"openalex,crossref",INSEAD,0,0.25,"pinyin_given_name_shape,person_name_length"
Feng Qiu,first_author,1082,When the Moon is Jealous of the Stars: Implications of Informal Leadership for Supervisor Downward Jealousy and Their Treatment of Other Subordinates,ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2023.0646,https://doi.org/10.5465/amj.2023.0646,"openalex,crossref",University of Massachusetts Amherst,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length"
Wei Jee Ong,first_author,1114,Who Avoids Punishment? How Discretion and Psychopathy Shape Leaders’ Responses to Misconduct,ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2024.0229,https://doi.org/10.5465/amj.2024.0229,crossref,The Hong Kong University of Science and Technology and National University of Singapore,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length"
Neveen Saied,first_author,1087,Who I Am Not: Enhancing Self-Clarity through Cultivating Not-Me Identities,ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2024.0530,https://doi.org/10.5465/amj.2024.0530,"openalex,crossref",Vlerick Business School,0,0.25,"pinyin_given_name_shape,person_name_length"
Yuri Mishina,first_author,1121,"Woulda, Shoulda, Coulda? The Impact of Predictive, Prescriptive, and Prospective Expectations on Stakeholder Reactions",ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2024.0135,https://doi.org/10.5465/amj.2024.0135,crossref,Imperial College London,0,0.25,"pinyin_given_name_shape,person_name_length"
Alexandra Rheinhardt Beer,first_author,237,“We’re Not Designing with the Same Brain”: How Tattoo Artists Navigate Authority-Expertise Asymmetry to Sustain Creator-Client Co-Creation,ACADEMY OF MANAGEMENT JOURNAL,A+,2026,10.5465/amj.2024.1212,https://doi.org/10.5465/amj.2024.1212,"openalex,crossref",University of Connecticut,0,0.25,"pinyin_given_name_shape,person_name_length"
Peter Bamberger,first_author,1222,"2025 Presidential Address: Activism, Impact, and Science: Management Scholarship in a Challenging Era",ACADEMY OF MANAGEMENT REVIEW,A+,2026,10.5465/amr.2025.0742,https://doi.org/10.5465/amr.2025.0742,crossref,Tel Aviv University,0,0.25,"pinyin_given_name_shape,person_name_length"
Liuxin Yan,first_author,248,A Reply to “Adversity Reveals Character: A Virtue Ethics-Based Contingency Theory Extension of Yan et al.’s ‘How Underdogs Succeed and Fail’”,ACADEMY OF MANAGEMENT REVIEW,A+,2026,10.5465/amr.2026.0385,https://doi.org/10.5465/amr.2026.0385,"openalex,crossref",Tsinghua University,0,0.4,"pinyin_given_name_shape,chinese_context,person_name_length"
James Bort,first_author,1215,A Theory of the Start-Up Workforce,ACADEMY OF MANAGEMENT REVIEW,A+,2026,10.5465/amr.2023.0174,https://doi.org/10.5465/amr.2023.0174,crossref,DePaul University,0,0.25,"pinyin_given_name_shape,person_name_length"
Sarah Wittman,first_author,1226,Achieving Holism: Narrating Multiple Identities in the Moment and over Time,ACADEMY OF MANAGEMENT REVIEW,A+,2026,10.5465/amr.2023.0215,https://doi.org/10.5465/amr.2023.0215,crossref,George Mason University,0,0.25,"pinyin_given_name_shape,person_name_length"
Morgan X. Yang,first_author,1168,Acting to Know: Extending Vorholzer and Brattström’s Theory of Moral Ambiguity in Entrepreneurial Action through Externalized Moral Resolution,ACADEMY OF MANAGEMENT REVIEW,A+,2026,10.5465/amr.2025.1031,https://doi.org/10.5465/amr.2025.1031,"openalex,crossref",The Hang Seng University of Hong Kong,1,0.8,"chinese_surname,pinyin_given_name_shape,initial_plus_pinyin,person_name_length"
Morgan Yang,corresponding_author,1168,Acting to Know: Extending Vorholzer and Brattström’s Theory of Moral Ambiguity in Entrepreneurial Action through Externalized Moral Resolution,ACADEMY OF MANAGEMENT REVIEW,A+,2026,10.5465/amr.2025.1031,https://doi.org/10.5465/amr.2025.1031,"openalex,crossref",The Hang Seng University of Hong Kong,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length"
Xiaojie Wu,first_author,1166,Adversity Reveals Character: A Virtue Ethics-Based Contingency Theory Extension of Yan et al.’s “How Underdogs Succeed and Fail”,ACADEMY OF MANAGEMENT REVIEW,A+,2026,10.5465/amr.2025.0762,https://doi.org/10.5465/amr.2025.0762,"openalex,crossref",Guangdong University of Technology,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length"
Stefano Tasselli,first_author,1179,Asymmetric Jeopardy through Dissonant Ties: An Extension of Brands and Kilduff’s “Multiplex Jeopardy”,ACADEMY OF MANAGEMENT REVIEW,A+,2026,10.5465/amr.2025.0499,https://doi.org/10.5465/amr.2025.0499,"openalex,crossref",University of Exeter and Erasmus University Rotterdam,0,0.25,"pinyin_given_name_shape,person_name_length"
Trenton Alma Williams,first_author,1216,Awe-Driven Venturing: Identifying and Pursuing Transformational Opportunities,ACADEMY OF MANAGEMENT REVIEW,A+,2026,10.5465/amr.2023.0247,https://doi.org/10.5465/amr.2023.0247,crossref,Brigham Young University and Université du Luxembourg,0,0.25,"pinyin_given_name_shape,person_name_length"
Camellia Bryan,first_author,1218,"Beyond Backlash: Advancing Dominant-Group Employees’ Learning, Allyship, and Growth through Social Identity Threat",ACADEMY OF MANAGEMENT REVIEW,A+,2026,10.5465/amr.2021.0521,https://doi.org/10.5465/amr.2021.0521,crossref,University of British Columbia,0,0.25,"pinyin_given_name_shape,person_name_length"
Hao Ma,first_author,1161,Boundary Conditions and the Juxtaposition of Externalities: An Extension to Anand et al.’s “Competitive Externalities in Acquisitions”,ACADEMY OF MANAGEMENT REVIEW,A+,2026,10.5465/amr.2026.0341,https://doi.org/10.5465/amr.2026.0341,"openalex,crossref",Peking University,1,0.85,"chinese_surname,pinyin_given_name_shape,chinese_context,person_name_length"
Robert J. Pidduck,first_author,1224,Co-Constructive Start-Up Illusions: An Extension of Bort’s “A Theory of the Start-Up Workforce”,ACADEMY OF MANAGEMENT REVIEW,A+,2026,10.5465/amr.2025.0144,https://doi.org/10.5465/amr.2025.0144,crossref,Old Dominion University,0,0.25,"pinyin_given_name_shape,person_name_length"
Kris Mikel-Hong,first_author,247,Coleman’s Boat and Complex Cross-Level Aggregation in Interinstitutional Systems: An Extension of Almandoz and Thornton’s “Understanding Institutional Environments: An Institutional Logics Model of Societal Evolution”,ACADEMY OF MANAGEMENT REVIEW,A+,2026,10.5465/amr.2026.0224,https://doi.org/10.5465/amr.2026.0224,"openalex,crossref",Renmin University of China,0,0.4,"pinyin_given_name_shape,chinese_context,person_name_length"
Eric Y. Lee,first_author,1163,Competitive Dynamics are Alive with the Sound of Music: A Reply to “Time to Face the Music”,ACADEMY OF MANAGEMENT REVIEW,A+,2026,10.5465/amr.2025.1029,https://doi.org/10.5465/amr.2025.1029,"openalex,crossref",Texas A&M University,0,0.25,"pinyin_given_name_shape,person_name_length"
Jaideep Anand,first_author,1182,Competitive Externalities in Acquisitions,ACADEMY OF MANAGEMENT REVIEW,A+,2026,10.5465/amr.2023.0120,https://doi.org/10.5465/amr.2023.0120,"openalex,crossref",Ohio State University,0,0.25,"pinyin_given_name_shape,person_name_length"
Joep P. Cornelissen,first_author,1177,Construct Fallacies and Construct Validation in Theories of Management and Organization,ACADEMY OF MANAGEMENT REVIEW,A+,2026,10.5465/amr.2024.0235,https://doi.org/10.5465/amr.2024.0235,"openalex,crossref",Erasmus University Rotterdam and University of Liverpool,0,0.25,"pinyin_given_name_shape,person_name_length"
Joep Cornelissen,corresponding_author,1177,Construct Fallacies and Construct Validation in Theories of Management and Organization,ACADEMY OF MANAGEMENT REVIEW,A+,2026,10.5465/amr.2024.0235,https://doi.org/10.5465/amr.2024.0235,"openalex,crossref",Erasmus University Rotterdam and University of Liverpool; Erasmus University Rotterdam; Vrije Universiteit Amsterdam,0,0.25,"pinyin_given_name_shape,person_name_length"
Piotr Tomasz Makowski,first_author,1162,"Copying the Wrong Winner? When Noisy Attribution Reverses Mutual Learning Prescriptions in Denrell, Christensen, Knudsen, and Liu’s “The Impact of Learning Mode and Speed on Mutual Learning”",ACADEMY OF MANAGEMENT REVIEW,A+,2026,10.5465/amr.2025.0682,https://doi.org/10.5465/amr.2025.0682,"openalex,crossref",Queen’s University Belfast and University of Warsaw,0,0.25,"pinyin_given_name_shape,person_name_length"
David J. Skandera,first_author,1187,Corporate Strategy and the Portfolio-Based View of CSR: Toward a Theory of Optimal CSR Diversification,ACADEMY OF MANAGEMENT REVIEW,A+,2026,10.5465/amr.2023.0416,https://doi.org/10.5465/amr.2023.0416,"openalex,crossref",Texas Christian University,0,0.25,"pinyin_given_name_shape,person_name_length"
David Joel Skandera,corresponding_author,1187,Corporate Strategy and the Portfolio-Based View of CSR: Toward a Theory of Optimal CSR Diversification,ACADEMY OF MANAGEMENT REVIEW,A+,2026,10.5465/amr.2023.0416,https://doi.org/10.5465/amr.2023.0416,"openalex,crossref",Texas Christian University; Dartmouth College; University of Central Florida,0,0.25,"pinyin_given_name_shape,person_name_length"
Dana Bement,first_author,1176,Corrective Governance in the Boardroom: A Negotiated Order Perspective,ACADEMY OF MANAGEMENT REVIEW,A+,2026,10.5465/amr.2023.0238,https://doi.org/10.5465/amr.2023.0238,"openalex,crossref",University of Notre Dame,0,0.25,"pinyin_given_name_shape,person_name_length"
Stefan Schwarzkopf,first_author,1170,"Defending the Hoax: A Commentary on Willmott’s “Management Theory: Jungle, Myth, or Hoax?”",ACADEMY OF MANAGEMENT REVIEW,A+,2026,10.5465/amr.2025.0753,https://doi.org/10.5465/amr.2025.0753,"openalex,crossref",Copenhagen Business School,0,0.25,"pinyin_given_name_shape,person_name_length"
Anna Szerb,first_author,1184,Designing Dual-Purpose Organizations: The Role of Soft Governance,ACADEMY OF MANAGEMENT REVIEW,A+,2026,10.5465/amr.2023.0226,https://doi.org/10.5465/amr.2023.0226,"openalex,crossref",New York University Abu Dhabi,0,0.25,"pinyin_given_name_shape,person_name_length"
Nicole V. West,first_author,1191,Empirically Based Response Strategies: When and How Empirical Debate Allows Firms to Resist Stakeholders,ACADEMY OF MANAGEMENT REVIEW,A+,2026,10.5465/amr.2024.0294,https://doi.org/10.5465/amr.2024.0294,"openalex,crossref",University of Texas at Dallas,0,0.25,"pinyin_given_name_shape,person_name_length"
