journal,achievement_level,papers_count,openalex_count,crossref_count,merged_count,candidates_count,chinese_candidates_count,missing_author_count,missing_affiliation_count,source_errors
ACADEMY OF MANAGEMENT JOURNAL,A+,5,5,5,5,6,0,0,0,0
ACADEMY OF MANAGEMENT REVIEW,A+,5,5,5,5,5,1,0,0,0
ADMINISTRATIVE SCIENCE QUARTERLY,A+,5,5,5,5,5,0,0,3,0
JOURNAL OF INTERNATIONAL BUSINESS STUDIES,A+,7,5,5,3,7,2,0,4,0
MANAGEMENT SCIENCE,A+,11,6,9,4,11,3,0,0,1
MATHEMATICS OF OPERATIONS RESEARCH,A+,6,5,5,4,6,2,0,0,0
MIS QUARTERLY,A+,6,5,5,4,7,4,0,0,0
OPERATIONS RESEARCH,A+,6,5,5,4,6,1,0,0,0
STRATEGIC MANAGEMENT JOURNAL,A+,5,4,5,4,5,1,1,0,0
IISE TRANSACTIONS,A1,6,5,5,4,11,3,0,0,0
INFORMATION SYSTEMS RESEARCH,A1,7,6,6,5,7,3,0,0,0
JOURNAL OF OPERATIONS MANAGEMENT,A1,5,5,5,5,6,1,1,0,0
JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY,A2,10,5,5,0,12,5,0,0,0
ORGANIZATION SCIENCE,A1,5,5,5,5,7,0,0,0,0
TRANSPORTATION SCIENCE,A1,8,5,5,2,7,2,1,0,0
